DEBUG:root:x,y,area_p,Ax,Ay
DEBUG:root:652,345,67,-41,60
DEBUG:root:649,347,63,-32,60
DEBUG:root:790,495,21,-59,59
DEBUG:root:570,357,54,59,60
DEBUG:root:790,518,20,-59,-57
DEBUG:root:550,344,54,59,60
DEBUG:root:544,351,55,59,59
DEBUG:root:524,375,51,-18,-38
DEBUG:root:468,450,26,59,-56
DEBUG:root:469,488,21,60,-59
DEBUG:root:484,498,20,60,-59
DEBUG:root:545,500,18,59,-58
DEBUG:root:560,512,18,59,-58
DEBUG:root:534,511,17,59,-58
DEBUG:root:495,511,16,60,-59
DEBUG:root:503,504,13,59,-59
DEBUG:root:562,501,12,59,-58
DEBUG:root:661,495,13,-57,-58
DEBUG:root:740,496,13,-59,-57
DEBUG:root:833,491,14,-59,60
DEBUG:root:852,483,15,-59,60
DEBUG:root:871,477,12,-60,60
DEBUG:root:878,478,10,-60,60
DEBUG:root:860,472,14,-59,60
DEBUG:root:816,465,21,-59,60
DEBUG:root:800,463,23,-59,60
DEBUG:root:928,124,0,-60,60
DEBUG:root:755,473,22,-59,59
DEBUG:root:745,475,22,-59,-25
DEBUG:root:843,133,0,-60,60
DEBUG:root:709,476,19,-59,-57
DEBUG:root:643,490,22,-55,-58
DEBUG:root:597,497,18,-34,-58
DEBUG:root:595,501,16,-31,-58
DEBUG:root:651,167,0,-60,60
DEBUG:root:608,503,16,-39,-58
DEBUG:root:638,168,0,-59,60
DEBUG:root:575,502,16,56,-58
DEBUG:root:580,169,0,-59,60
DEBUG:root:560,500,16,59,-58
DEBUG:root:564,169,0,-59,60
DEBUG:root:520,167,0,-34,60
DEBUG:root:527,502,13,59,-58
DEBUG:root:503,494,13,59,-58
DEBUG:root:509,491,18,59,-58
DEBUG:root:482,152,0,56,60
DEBUG:root:499,488,18,59,-58
DEBUG:root:463,146,0,59,60
DEBUG:root:522,483,17,59,-57
DEBUG:root:565,477,20,23,-57
DEBUG:root:522,132,0,-59,60
DEBUG:root:583,478,20,-29,-57
DEBUG:root:616,473,21,-50,-57
DEBUG:root:567,130,0,-59,60
DEBUG:root:690,464,21,-59,-56
DEBUG:root:613,128,0,-59,60
DEBUG:root:815,463,21,-59,60
DEBUG:root:732,108,0,-60,60
DEBUG:root:926,106,0,-60,60
DEBUG:root:870,464,11,-60,60
DEBUG:root:880,404,11,-60,60
DEBUG:root:748,90,0,-60,60
DEBUG:root:907,479,7,-60,60
DEBUG:root:687,88,0,-60,60
DEBUG:root:894,461,9,-60,60
DEBUG:root:639,85,0,-60,60
DEBUG:root:912,461,7,-60,60
DEBUG:root:629,86,0,-60,60
DEBUG:root:526,93,0,-59,60
DEBUG:root:933,442,4,-60,60
DEBUG:root:488,104,0,-58,60
DEBUG:root:439,110,0,59,60
